"doc_id","논문명","저자명","pub_year","KCI 등재 구분","주제분야","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","Topic9","Topic10"
"ART001258699","입국초기 새터민 청소년들의심리적 건강상태에 관한 탐색적 연구","양계민;황순택",2008,"등재","기타사회과학",0.969957058240968,0.00208884032215783,0.0103929755124857,0.00267792563349257,0.00193571475975906,0.00353412000092562,0.00131643280676788,0.000335670518617198,0.00761677227314489,0.000144489931681785
"ART001466300","청소년 자해의 이해 및 특성에 대한 고찰","이동훈;양미진;김수리",2010,"등재","상담심리/심리치료",0.00615826987881323,0.00133982644311912,0.0102362280145649,0.00502313861262859,0.00394429529336358,0.00121223680109934,0.00375520656740613,4.00066944164797e-05,0.967522058197567,0.000768733497022456
"ART001501510","청소년 자해 행동의 치료 및 예방과 기독교 상담학적 방안","강경미",2010,"등재","기독교신학",0.00392394325361495,0.00125754571919965,0.981034322687501,0.00238590327862374,0.00118634792180064,0.00102821531664115,0.00163647799246422,0.000269219083110557,0.00680662345123264,0.000471401295811141
"ART001673942","학교상담현장에서의 위기유형분류와 기독교 가정교육(사역)적 접근","박미라",2012,"등재","기독교교육",0.00405934237268796,0.00172970617496755,0.97823756749568,0.00338526251215305,0.00169499269797821,0.00155738740110818,0.00202083549630597,0.000557257491606259,0.00602816253283004,0.000729485824682438
"ART001752685","문제행동사례에 대한 유형별 단어 및 형태소 특성 분석: Homi.info에 기록된 사례를 중심으로","강정배;이효신",2013,"등재","특수교육",0.00599449241411967,0.00321619159725611,0.962820782803726,0.00533921989251733,0.0031365269264917,0.00254544434643057,0.00309053929775841,0.000931685791600556,0.0115720941778604,0.00135302275224007
"ART001972640","청소년 가출과 자살위험 - 정책적 함의","김준홍",2012,"미등재","정책학",0.0105862772831383,0.00614040491041697,0.0138733834333283,0.00915006472150183,0.000966633226154764,0.00572041199768725,0.289373946588139,0.661226869881136,0.00230033367613146,0.000661674282366368
"ART001993192","청소년 내담자의 반복적 자해행동의 의미탐색: ‘고통으로 고통을 견디기’","김수진;김봉환",2015,"등재","심리과학",0.00496768473819068,0.0032650246663579,0.00512714041345343,0.000372005587285079,0.973549788249734,0.000606520869933448,0.00233698335597867,0.000137592166852308,0.00771268990801367,0.00192457004420042
"ART002008030","입체매체를 활용한 집단미술치료프로그램이 학교 부적응 청소년의 스트레스 대처에 미치는 효과","김미희;김정일",2015,"등재","예술교육",0.00434058529425731,0.965018323753012,0.00487396395681641,0.00565218333280112,0.00497568843396289,0.00690180217065212,0.00269584587785602,0.00221004938414998,0.00285807234309908,0.000473485453392742
"ART002079322","청소년의 처벌민감성과 강화민감성이 불안, 우울, 자해행동에 미치는 영향: 스트레스와 통제가능성 귀인의 역할","이혜림;이영호",2015,"등재","기타사회과학",0.024254966732222,0.00933482889159681,0.0707100178283488,0.831287178829436,0.00149904866384721,0.0278408848133434,0.0161718702579488,0.00613589824269099,0.0111155081496102,0.0016497975909559
"ART002136866","청소년의 일상적 스트레스와 자해행동: 인지적 정서조절전략의 조절효과","성나경;강이영",2016,"등재","심리과학",0.00725372578720877,0.00653088804116235,0.0829360930688475,0.847040232351675,0.00135150230747005,0.0231304673693512,0.00984688348626266,0.00420474850938246,0.0156686933160356,0.00203676576260405
"ART002159723","자살 예방 홍보 메시지의 효과에 영향을 주는 요인에 대한 연구: 촉진/예방 초점 적용과 참여자들의 자기 감시 수준을 중심으로","유현재;김인기;임재성",2016,"등재","신문방송학",0.00426232370974504,0.00252516352120535,0.96926941819723,0.00593095475557321,0.00319346005777714,0.00335644895756755,0.00257333947110886,0.00192961331887118,0.0052566555785191,0.0017026224324022
"ART002167043","청소년 자해행동: 여중생의 자살적 자해와 비(非)자살적 자해","이동귀;함경애;배병훈",2016,"등재","심리과학",0.00301543859908692,0.00361080778200346,0.00520221199092735,0.0190542432273094,0.00407907311640862,0.00184049762193131,0.947071467130974,0.00480684183989933,0.0087266787598329,0.00259273993162706
"ART002265656","비자살적 자해의 위험요인과 보호요인 개관","김수진",2017,"등재","기타사회과학",0.00764241910544573,0.00200984887415163,0.0094384417844084,0.00625118794013233,0.0214102473598669,0.00263139585437884,0.00594087024405868,0.000294789347201594,0.940858385103435,0.00352241438692123
